ensembl_gene_id	miRNA_ID	MI
ZNF775	hsa-mir-183	0.0915348
B3GALT1	hsa-mir-181c	0.091532
SH3GLB1	hsa-mir-4657	0.0915226
CWF19L1	hsa-mir-1307	0.0915222
SLC1A7	hsa-mir-195	0.0915177
SFT2D1	hsa-mir-615	0.0914953
SLC6A4	hsa-mir-651	0.0914944
RNF38	hsa-mir-487b	0.0914334
CCER2	hsa-mir-340	0.0914255
RNF128	hsa-mir-3928	0.091385
RAD23B	hsa-mir-32	0.091373
P2RY14	hsa-mir-301a	0.0913682
EGR4	hsa-let-7e	0.0913633
PBX3	hsa-mir-454	0.0913589
SYK	hsa-mir-190a	0.0913505
SMIM18	hsa-mir-500a	0.0913444
LAYN	hsa-mir-411	0.0913338
MFAP1	hsa-mir-301b	0.0913188
ZNF16	hsa-mir-6739	0.0913095
RRAS2	hsa-mir-223	0.0912939
PPP1R14D	hsa-mir-26a-2	0.0912905
CKLF-CMTM1	hsa-mir-5010	0.091277
KIAA1217	hsa-mir-340	0.0912638
RELL1	hsa-mir-4772	0.0912595
KIAA1217	hsa-mir-577	0.0912479
GJB2	hsa-mir-3619	0.0912458
FAM169A	hsa-mir-30c-1	0.0912204
CDC123	hsa-mir-6508	0.0912181
TRAPPC5	hsa-mir-5699	0.0912124
MRPS26	hsa-mir-103a-2	0.0912102
SMOC1	hsa-mir-4666a	0.0911765
PARG	hsa-mir-1296	0.0911591
BUD23	hsa-mir-25	0.09115
ELP1	hsa-mir-7-1	0.0911477
TSTD3	hsa-mir-548j	0.0911189
NDUFAB1	hsa-mir-149	0.0911062
TPD52L1	hsa-mir-139	0.0910982
ZFAND3	hsa-mir-139	0.0910852
HDAC6	hsa-mir-532	0.091085
GEMIN7	hsa-mir-199b	0.0910654
CABIN1	hsa-mir-320c-2	0.0910582
MUC21	hsa-mir-6728	0.0910576
RAMACL	hsa-mir-501	0.0910406
MYOZ2	hsa-mir-2355	0.0910141
PDE1A	hsa-mir-3913-2	0.0910046
GEMIN7	hsa-let-7c	0.0909896
TMEM176B	hsa-mir-101-2	0.0909296
TMEM139	hsa-mir-7-3	0.0909172
UBE2D3	hsa-mir-181b-2	0.0908864
CXCR1	hsa-mir-6780a	0.0908724
GDF7	hsa-mir-4419b	0.0908633
RAD18	hsa-mir-4714	0.090848
NTAQ1	hsa-mir-937	0.0908445
RMI1	hsa-mir-32	0.0908301
KIAA0753	hsa-mir-100	0.090823
LDLRAD1	hsa-mir-4442	0.0908117
HEPHL1	hsa-mir-190b	0.0908057
KCNE2	hsa-mir-6737	0.0907935
DOCK3	hsa-mir-4787	0.0907818
ORAI3	hsa-mir-641	0.0907794
KIR2DL4	hsa-mir-579	0.0907752
NAB2	hsa-mir-6739	0.0907679
MORC2	hsa-mir-106b	0.0907657
TMCC2	hsa-mir-6798	0.0907592
AK4	hsa-mir-4802	0.0907279
ADHFE1	hsa-mir-4723	0.0907065
NUDCD2	hsa-mir-589	0.0907053
ZNF92	hsa-mir-605	0.0907005
MEIS2	hsa-mir-5694	0.0906189
HSD17B2	hsa-mir-29c	0.0906134
TMPRSS13	hsa-mir-6892	0.0906124
PHB2	hsa-mir-487b	0.0906001
ZSCAN2	hsa-mir-1537	0.0905961
SLC52A2	hsa-mir-4661	0.0905734
FAAH2	hsa-mir-766	0.090538
EFCAB9	hsa-mir-6805	0.090519
MMP16	hsa-mir-181d	0.0905122
MEIS1	hsa-mir-3934	0.0905047
USP35	hsa-mir-584	0.0904957
KLF7	hsa-mir-6508	0.0904723
HOXC12	hsa-mir-3690-1	0.0904574
NDUFA4L2	hsa-mir-6868	0.0904487
FANCD2	hsa-mir-3917	0.0904462
ACTR1A	hsa-mir-1307	0.0904143
ASB18	hsa-mir-4435-1	0.0903473
GZMH	hsa-mir-3170	0.0903307
TPH2	hsa-mir-345	0.0903153
ATG2B	hsa-mir-345	0.0902932
EFEMP1	hsa-mir-4680	0.0902875
EFNB2	hsa-mir-4522	0.0902788
GOLGA4	hsa-mir-6503	0.0902642
CDK2AP2	hsa-mir-6882	0.0902554
ARL2	hsa-mir-16-1	0.0902514
LIMD1	hsa-let-7e	0.0902493
HADHB	hsa-mir-324	0.0902398
ATP5F1D	hsa-mir-1287	0.0902354
ZNF670-ZNF695	hsa-mir-193b	0.0902264
TOLLIP	hsa-mir-210	0.0902108
DTWD2	hsa-mir-1260b	0.0901847
COX15	hsa-mir-191	0.0901418
HEATR3	hsa-mir-345	0.0901415
CXorf58	hsa-mir-4791	0.0901253
LTBR	hsa-mir-141	0.0901121
CLRN3	hsa-mir-580	0.0900864
AFTPH	hsa-mir-548s	0.0900824
MSTO1	hsa-mir-769	0.0900808
HTRA2	hsa-mir-4664	0.0900593
ZGLP1	hsa-mir-20a	0.090045
RTL8C	hsa-mir-505	0.0900357
NDC1	hsa-mir-548v	0.0900181
TMEM176B	hsa-mir-101-1	0.0900133
RAD51D	hsa-mir-423	0.090005
TRMT112	hsa-mir-4733	0.0899847
MEFV	hsa-mir-133b	0.0899723
KPTN	hsa-mir-200a	0.089967
KRT32	hsa-mir-95	0.0899552
GGTLC1	hsa-mir-767	0.0899541
IARS1	hsa-mir-32	0.0899441
F3	hsa-mir-424	0.0899379
SYT16	hsa-mir-1910	0.0899061
BRMS1	hsa-mir-194-2	0.0898942
CDK5R1	hsa-mir-423	0.0898845
NUCB1	hsa-mir-223	0.0898775
TRIM37	hsa-mir-454	0.0898658
ANKRD13C	hsa-mir-186	0.0898572
COL5A2	hsa-mir-3615	0.0898392
KBTBD7	hsa-mir-3613	0.0898359
ALG12	hsa-mir-885	0.0898265
RYR2	hsa-mir-629	0.0898229
PTMS	hsa-mir-340	0.0897669
RXRB	hsa-mir-199a-1	0.0897573
HAUS6	hsa-mir-654	0.0897477
SQLE	hsa-mir-33a	0.0897373
PRKAG1	hsa-mir-548aw	0.0897304
IGFL3	hsa-mir-636	0.0897299
ECH1	hsa-mir-363	0.0897221
CASC3	hsa-mir-4286	0.089692
HSD17B8	hsa-mir-3677	0.0896878
TP53I3	hsa-mir-224	0.0896809
EIF5A	hsa-mir-6818	0.0896691
ZNF148	hsa-mir-449a	0.0896349
FAM131B	hsa-mir-4793	0.0896348
NRBP1	hsa-mir-101-2	0.0896077
ZFYVE19	hsa-mir-130b	0.0895929
ZNF432	hsa-mir-1291	0.0895926
CHD7	hsa-mir-548f-1	0.0895673
HCN2	hsa-mir-664b	0.0895656
ZNF445	hsa-let-7e	0.0895505
MAP4K5	hsa-mir-5703	0.0895174
NCLN	hsa-mir-4746	0.0895173
OTUD7A	hsa-mir-7-1	0.0895171
LRWD1	hsa-mir-25	0.0895115
PROP1	hsa-mir-6834	0.0894978
FAXDC2	hsa-mir-192	0.089457
CFAP44	hsa-mir-301a	0.0894319
XPO7	hsa-mir-320a	0.0894308
AKAP17A	hsa-mir-4525	0.0894276
BAZ1B	hsa-mir-25	0.0894137
IFI27L1	hsa-mir-1284	0.0894093
GRAP2	hsa-mir-584	0.0893935
GYS1	hsa-mir-20a	0.0893889
PIGBOS1	hsa-mir-320b-1	0.0893798
WDR45B	hsa-mir-4668	0.0893333
