ensembl_gene_id	miRNA_ID	MI
IGSF21	hsa-mir-5193	0.191566
CHRNG	hsa-mir-219b	0.191564
TIMM13	hsa-mir-146a	0.191557
NUDCD3	hsa-mir-30b	0.191485
ATP10B	hsa-mir-92a-2	0.191454
APOBEC3H	hsa-mir-323b	0.191448
MFSD13A	hsa-mir-765	0.191438
PATJ	hsa-mir-99b	0.191414
SLC35E4	hsa-mir-5691	0.191385
RHOG	hsa-mir-3619	0.191376
MPV17L	hsa-mir-150	0.191313
EPN1	hsa-mir-4758	0.191244
L1TD1	hsa-mir-337	0.191192
ZNHIT6	hsa-mir-375	0.191185
IRF1	hsa-mir-3655	0.191184
TIMP2	hsa-mir-27a	0.191182
OR1C1	hsa-mir-7705	0.191106
PCMTD1	hsa-mir-628	0.191105
LRRC18	hsa-mir-99a	0.191094
FBXO22	hsa-mir-1306	0.191076
FCGR3B	hsa-mir-629	0.191054
GXYLT2	hsa-mir-5684	0.191045
ADCK2	hsa-mir-4638	0.191017
SLC28A1	hsa-mir-1245a	0.191001
MAGT1	hsa-mir-4714	0.190944
PHPT1	hsa-mir-7-3	0.190913
TMEM242	hsa-mir-2277	0.190909
MYO1G	hsa-mir-103a-1	0.190863
FGF1	hsa-mir-581	0.190855
MYO1G	hsa-mir-103a-2	0.190845
TAMALIN	hsa-mir-7-2	0.190809
SERPINA12	hsa-mir-19b-2	0.190789
SPATA45	hsa-mir-539	0.190786
RNF133	hsa-mir-193b	0.190763
RTN1	hsa-mir-503	0.19075
NSFL1C	hsa-mir-485	0.190729
COQ8A	hsa-mir-5581	0.190683
WDR12	hsa-mir-1254-1	0.190658
OSBPL8	hsa-mir-5091	0.190636
TSKU	hsa-mir-30c-1	0.190607
REST	hsa-mir-181c	0.190601
REM2	hsa-mir-506	0.190548
LDLRAP1	hsa-mir-4797	0.190512
MIEF1	hsa-mir-4677	0.190503
ZC3H8	hsa-mir-7854	0.190462
TRIP6	hsa-mir-3198-2	0.190372
RELB	hsa-mir-548f-1	0.190313
BRDT	hsa-mir-548o-2	0.190305
LILRB3	hsa-mir-187	0.19029
CAVIN3	hsa-mir-29c	0.190288
TJAP1	hsa-mir-92a-2	0.190261
ZNF891	hsa-mir-6737	0.190248
DHDDS	hsa-mir-3622b	0.19023
DLGAP5	hsa-mir-1270	0.190207
LHX8	hsa-mir-874	0.190118
SHLD3	hsa-mir-126	0.190101
PYCARD	hsa-mir-6826	0.190083
LRIG1	hsa-mir-760	0.190075
TCEA1	hsa-mir-6892	0.190044
S100A5	hsa-mir-577	0.190043
DSC2	hsa-mir-6806	0.19004
ZNF142	hsa-mir-4791	0.190034
SV2A	hsa-mir-199b	0.190024
ZNF736	hsa-mir-219b	0.190017
SVBP	hsa-mir-548b	0.190017
IER3IP1	hsa-mir-1306	0.189932
CBLC	hsa-mir-3157	0.189901
PTMS	hsa-mir-375	0.18986
C1QTNF3-AMACR	hsa-mir-605	0.189829
HEATR1	hsa-mir-4714	0.189759
TMEM213	hsa-mir-30d	0.189755
TMEM132E	hsa-mir-205	0.189721
PRR22	hsa-mir-376a-1	0.189684
SLITRK5	hsa-mir-494	0.189664
NABP1	hsa-mir-4786	0.18961
TAS2R30	hsa-mir-219b	0.189588
CNGA3	hsa-mir-6511b-2	0.189545
INPP5K	hsa-mir-598	0.189521
PHACTR4	hsa-mir-3934	0.189514
ACOT12	hsa-mir-3136	0.189513
STEAP3	hsa-mir-5002	0.189482
ADPRM	hsa-mir-3664	0.189474
ZP3	hsa-mir-144	0.189469
FAM199X	hsa-mir-767	0.189456
RAB7B	hsa-mir-3928	0.18941
PPEF1	hsa-mir-584	0.18941
JAGN1	hsa-mir-6511b-1	0.189308
EIF4EBP3	hsa-mir-135b	0.189302
PIWIL1	hsa-mir-5193	0.1893
CYP2S1	hsa-mir-6716	0.189237
AP2A2	hsa-mir-500a	0.189227
GPBP1	hsa-mir-7-3	0.189225
KEAP1	hsa-mir-6805	0.18912
SDHD	hsa-mir-30d	0.189107
KDM5B	hsa-mir-432	0.189104
ANKDD1B	hsa-mir-17	0.189102
SERPINB8	hsa-mir-221	0.189018
ERV3-1	hsa-mir-10a	0.188961
MYO6	hsa-mir-449a	0.188959
TNFRSF10A	hsa-mir-320b-2	0.188954
CBLB	hsa-mir-3615	0.18895
ZNF296	hsa-mir-500a	0.188949
SP140L	hsa-mir-3620	0.188919
PLAAT1	hsa-mir-449b	0.188897
MAU2	hsa-mir-181b-1	0.188891
DHX38	hsa-mir-6716	0.18883
MYLIP	hsa-mir-181c	0.188814
ZNF324	hsa-mir-382	0.188764
ALG1	hsa-mir-34a	0.188753
CNKSR2	hsa-mir-337	0.188709
FPR2	hsa-mir-500a	0.188693
C15orf39	hsa-mir-1226	0.188688
CFHR5	hsa-mir-4723	0.188687
THEM6	hsa-let-7g	0.188655
NENF	hsa-mir-27a	0.188648
SLC9A3	hsa-mir-4756	0.188644
USP27X	hsa-mir-532	0.1886
HOXC9	hsa-mir-665	0.188598
CIR1	hsa-mir-23c	0.188574
MTPN	hsa-mir-23c	0.188571
ABCA10	hsa-mir-6514	0.188558
DIXDC1	hsa-mir-7-1	0.188544
CD1E	hsa-mir-103a-2	0.188536
TK1	hsa-mir-1270	0.188503
ARMH3	hsa-mir-31	0.188485
RAB40A	hsa-mir-501	0.188411
SAC3D1	hsa-mir-3926-1	0.188407
TRMT6	hsa-mir-328	0.188373
BBS7	hsa-mir-6777	0.188372
GFER	hsa-mir-615	0.188357
SYNPO2	hsa-mir-149	0.188341
AQR	hsa-mir-580	0.188337
ST3GAL1	hsa-mir-708	0.188307
C2orf76	hsa-mir-152	0.188257
C2CD4D	hsa-mir-6802	0.188166
L1TD1	hsa-mir-26a-1	0.188153
POP4	hsa-mir-429	0.188141
RAB3D	hsa-mir-378c	0.188097
SF3B3	hsa-mir-6716	0.188047
