ensembl_gene_id	miRNA_ID	MI
TP53I13	hsa-mir-423	0.0497908
RCBTB1	hsa-mir-15a	0.0497737
BLMH	hsa-mir-423	0.0497667
NSG1	hsa-mir-130b	0.0497324
EMC8	hsa-mir-939	0.0497134
GLT8D1	hsa-mir-191	0.0496841
CIAO2B	hsa-mir-328	0.0496814
ARPC1A	hsa-mir-106b	0.0496626
FGD6	hsa-mir-27a	0.0496405
WDR7	hsa-mir-5092	0.049622
CMBL	hsa-mir-582	0.0496164
WDR59	hsa-mir-328	0.0496114
FAM126B	hsa-mir-92b	0.0496095
DDX54	hsa-mir-4793	0.0496061
DNAJC7	hsa-mir-423	0.0495996
GABRA5	hsa-mir-4651	0.0495833
FADS2	hsa-mir-3942	0.0495757
NEURL4	hsa-mir-744	0.0495665
AKAP14	hsa-mir-5004	0.0495597
CLCC1	hsa-mir-197	0.0495557
MAPK3	hsa-mir-19b-2	0.0495525
IL31RA	hsa-mir-600	0.0495472
ARL2	hsa-mir-16-1	0.0495157
TMEM42	hsa-mir-191	0.0494998
RANBP17	hsa-mir-340	0.0494966
H2AJ	hsa-mir-642a	0.0494638
DNALI1	hsa-mir-4665	0.049433
MRM2	hsa-mir-339	0.0494303
AURKAIP1	hsa-mir-874	0.0494149
ZNF576	hsa-mir-330	0.049388
TMEM260	hsa-mir-625	0.0493852
GABARAPL2	hsa-mir-328	0.0493283
NHLRC3	hsa-mir-320a	0.0493174
CNR1	hsa-mir-4748	0.0493164
TMEM199	hsa-mir-423	0.0493104
AKR1B1	hsa-mir-194-2	0.0493103
RALGAPB	hsa-mir-4793	0.0493002
PSMD6	hsa-mir-191	0.0492831
H1-2	hsa-mir-4658	0.049219
NFKBID	hsa-mir-431	0.0492027
PIK3CG	hsa-mir-92b	0.0491947
IFIT5	hsa-mir-1307	0.0491723
MCM7	hsa-mir-93	0.0491679
NIPA1	hsa-mir-148b	0.0491244
MXD3	hsa-mir-3936	0.0491172
SMIM6	hsa-mir-5004	0.0491124
STMP1	hsa-mir-339	0.0491117
NEURL1	hsa-mir-3936	0.0491011
RBM5	hsa-mir-191	0.0490886
SPTBN5	hsa-mir-28	0.0490869
ANKRD18B	hsa-mir-4793	0.0490562
TSR1	hsa-mir-744	0.0490455
KLF7	hsa-mir-2355	0.0490188
COPS6	hsa-mir-93	0.0489965
TACC3	hsa-mir-4666a	0.0489746
ZNF493	hsa-mir-92b	0.0489488
C21orf62	hsa-mir-6726	0.0489485
TREML4	hsa-mir-155	0.0489249
GNA12	hsa-mir-550a-2	0.0489231
MCM7	hsa-mir-106b	0.0489175
SLX4	hsa-mir-3677	0.0489034
CIAPIN1	hsa-mir-328	0.0488656
PREX2	hsa-mir-126	0.0488599
HSD11B2	hsa-mir-518e	0.0488473
RBMXL1	hsa-mir-433	0.0488448
IP6K2	hsa-mir-191	0.0488208
COPS3	hsa-mir-33b	0.0488102
PHF5A	hsa-mir-6844	0.0487914
LRRC69	hsa-mir-4661	0.0487846
SLC32A1	hsa-mir-193a	0.0487724
FRAT2	hsa-mir-1307	0.0487671
KIF1C	hsa-mir-324	0.0487659
DNAJC25	hsa-mir-32	0.0487652
PIH1D2	hsa-mir-3074	0.0487322
DEPDC5	hsa-mir-466	0.0487204
MACC1	hsa-mir-874	0.0487077
F7	hsa-mir-641	0.0486822
SORT1	hsa-mir-197	0.0486689
ELL3	hsa-mir-152	0.0486685
AASDHPPT	hsa-mir-664a	0.0486653
NAGA	hsa-mir-296	0.048642
REELD1	hsa-mir-2114	0.0486298
TLCD3A	hsa-mir-101-2	0.0486272
ASPM	hsa-mir-6762	0.0486213
BCL2L1	hsa-mir-4435-1	0.0486205
BRIP1	hsa-mir-375	0.0486055
KANSL1	hsa-mir-423	0.0486033
ABHD15	hsa-mir-423	0.0486006
EFR3B	hsa-mir-4793	0.0486001
VPS25	hsa-mir-423	0.0485929
KLHL7	hsa-mir-99a	0.0485908
SHARPIN	hsa-mir-127	0.0485845
NSMCE2	hsa-mir-452	0.0485424
UBLCP1	hsa-mir-320b-2	0.0485293
ZNF19	hsa-mir-328	0.0485256
SNRNP27	hsa-mir-4723	0.0485256
FBXO46	hsa-mir-330	0.0485029
PAM16	hsa-mir-664a	0.0484771
UQCRC2	hsa-mir-1306	0.0484674
SLFN13	hsa-mir-548k	0.048452
KRBA2	hsa-mir-324	0.0484367
DPH1	hsa-mir-744	0.0484113
SERPINA5	hsa-mir-4793	0.0484091
AGXT	hsa-mir-4658	0.048402
ERCC6L	hsa-mir-5004	0.0483821
USP5	hsa-mir-200c	0.0483683
EPS8	hsa-mir-203a	0.0483641
MPDU1	hsa-mir-744	0.0483571
ZDHHC3	hsa-let-7g	0.0483073
ZFYVE21	hsa-mir-625	0.0482951
FAM200A	hsa-mir-93	0.0482885
TUBG2	hsa-mir-29a	0.0482788
ODF3L2	hsa-mir-4419b	0.0482745
SYF2	hsa-mir-1976	0.0482578
G6PC3	hsa-mir-423	0.0482499
RPP25	hsa-let-7a-2	0.048235
AKR1C3	hsa-mir-4791	0.0482312
LRWD1	hsa-mir-106b	0.0482302
CDH5	hsa-mir-126	0.0482292
PIGS	hsa-mir-148a	0.0481992
GPX1	hsa-mir-192	0.048197
GSK3B	hsa-mir-4793	0.0481616
PDCD2L	hsa-mir-1976	0.0481459
TMUB1	hsa-mir-760	0.0481404
PPIL2	hsa-mir-589	0.0481381
VPS4A	hsa-mir-328	0.0481226
IL21	hsa-mir-219a-1	0.0481177
C20orf27	hsa-mir-4435-1	0.0481171
EDA2R	hsa-mir-34a	0.0481158
LGR6	hsa-mir-4748	0.0481126
ZNF230	hsa-mir-3176	0.0481111
FGGY	hsa-mir-222	0.0481097
CLCN5	hsa-mir-660	0.0480957
FAHD2B	hsa-mir-3127	0.0480904
ARF4	hsa-mir-191	0.0480877
DOLK	hsa-mir-452	0.0480844
ARV1	hsa-mir-664a	0.0480724
TSPYL5	hsa-mir-1260b	0.0480683
CSAG2	hsa-mir-4419b	0.048038
NMT1	hsa-mir-423	0.0480295
CASP6	hsa-mir-576	0.0480237
SLC25A29	hsa-mir-345	0.0480196
ZFP62	hsa-mir-3622b	0.0480183
ZFP90	hsa-mir-328	0.0479995
ZC3H13	hsa-mir-15a	0.0479968
SHE	hsa-mir-4715	0.047991
AKR1C4	hsa-mir-185	0.0479672
TLK1	hsa-mir-190b	0.0479588
PPP5C	hsa-mir-4793	0.0479494
ZNF3	hsa-mir-106b	0.0479352
NAA38	hsa-mir-22	0.0479218
SF3B3	hsa-mir-328	0.0479025
ABHD14A-ACY1	hsa-mir-191	0.0478895
ABCF3	hsa-mir-449b	0.0478883
CNTNAP5	hsa-mir-4645	0.0478832
ZNF655	hsa-mir-590	0.0478817
RAB1B	hsa-mir-218-2	0.0478725
AARSD1	hsa-mir-423	0.0478306
GPATCH8	hsa-mir-423	0.0478153
RAB6B	hsa-mir-181a-1	0.0478116
MIOX	hsa-mir-149	0.0478076
DNAJB11	hsa-mir-4793	0.0478019
ERC2	hsa-mir-6834	0.0477707
IQCJ	hsa-mir-6508	0.0477529
KPNA6	hsa-mir-17	0.04773
ANKRD13B	hsa-mir-423	0.0477223
COQ8A	hsa-mir-24-1	0.0477222
TENT2	hsa-mir-181d	0.0477169
NT5C3B	hsa-mir-423	0.0477026
MAT1A	hsa-mir-199a-2	0.0477016
POP7	hsa-mir-106b	0.0476903
MMP10	hsa-mir-3115	0.0476866
ENSA	hsa-mir-101-2	0.0476839
WDR6	hsa-mir-191	0.0476766
MED4	hsa-mir-320a	0.0476684
TRH	hsa-mir-4745	0.0476653
BCAS3	hsa-mir-4793	0.0476533
CENPT	hsa-mir-328	0.0476474
FAM98A	hsa-mir-125b-2	0.0476466
ATP6V0D1	hsa-mir-328	0.047618
KCTD12	hsa-mir-518e	0.0476044
VAMP2	hsa-mir-324	0.0476032
NFE2L2	hsa-mir-4748	0.0475895
ACADM	hsa-mir-186	0.0475882
MAP3K1	hsa-mir-496	0.0475696
